"Permalink,""Name"",""Description"",""Meta Title"",""Meta Description"",""Width"",""Length"",""Height"",""Brand"",""Barcode"",""Categories"",""Images"",""Digital"",""Featured"",""Status"",""SKU"",""Weight"",""Stock"",""Stock Unlimited"",""Price"",""Variant Image"",""Variant 1 Option Name"",""Variant 1 Option Type"",""Variant 1 Option Value"",""Google Product Category"""
"platano,""Plátano"","""",""Plátano"","""",""0.0"",""0.0"",""0.0"",""1 Kg. (Aprox. 5 unid.)"","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977660/platano.jpg?1587560045"",""NO"",""YES"",""available"",""PLA001"",""1.0"",""100"",""YES"",""1500.0"","""","""","""","""","""","""","""","""""
"poroto-granado,""Poroto Granado"","""",""Poroto Granado"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977661/porotos-granados.jpg?1587560058"",""NO"",""NO"",""available"",""POR001"",""1.0"",""100"",""YES"",""2000.0"","""","""","""","""","""","""","""","""""
"poroto-verde,""Poroto Verde"","""",""Poroto Verde"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977662/Poroto-verde.jpg?1587560070"",""NO"",""NO"",""available"",""POR002"",""1.0"",""100"",""YES"",""2000.0"","""","""","""","""","""","""","""","""""
"rucula,""Rúcula"","""",""Rúcula"","""",""0.0"",""0.0"",""0.0"",""250 grs."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977663/rucula.jpg?1587560129"",""NO"",""NO"",""available"",""RUC001"",""0.25"",""100"",""YES"",""1290.0"","""","""","""","""","""","""","""","""""
"tomate,""Tomate"","""",""Tomate"","""",""0.0"",""0.0"",""0.0"",""1 Kg. (Aprox. 4 unid.)"","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977664/tomate.jpg?1587560132"",""NO"",""YES"",""available"",""TOM001"",""1.0"",""100"",""YES"",""1200.0"","""","""","""","""","""","""","""","""""
"uva-roja,""Uva Roja"","""",""Uva Roja"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977665/uva-roja.jpg?1587560134"",""NO"",""NO"",""available"",""UVA001"",""1.0"",""100"",""YES"",""2300.0"","""","""","""","""","""","""","""","""""
"uva-verde,""Uva Verde"","""",""Uva Verde"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977666/uva-verde.jpg?1587560136"",""NO"",""NO"",""available"",""UVA002"",""1.0"",""100"",""YES"",""2500.0"","""","""","""","""","""","""","""","""""
"zapallo-italiano,""Zapallo Italiano"","""",""Zapallo Italiano"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977667/Zapallo-italiano.jpg?1587560138"",""NO"",""NO"",""available"",""ZAP001"",""1.0"",""100"",""YES"",""500.0"","""","""","""","""","""","""","""","""""
"zapallo,""Zapallo"","""",""Zapallo"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977668/zapallo-trozo.jpg?1588343417"",""NO"",""NO"",""available"",""ZAP003"",""1.0"",""100"",""YES"",""1700.0"","""","""","""","""","""","""","""","""""
"zapallo-italiano-promo,""Zapallo Italiano Promo"","""",""Zapallo Italiano Promo"","""",""0.0"",""0.0"",""0.0"",""3 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/5038738/zapallo-italiano-3.jpg?1588343414"",""NO"",""NO"",""disabled"",""ZAP002"",""1.0"",""0"",""YES"",""1200.0"","""","""","""","""","""","""","""","""""
"acelga,""Acelga"","""",""Acelga"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/5049808/acelga.jpg?1588343474"",""NO"",""NO"",""available"",""ACE001"",""1.0"",""0"",""YES"",""1000.0"","""","""","""","""","""","""","""","""""
"berenjena,""Berenjena"","""",""Berenjena"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/5049827/berenjena.jpg?1588343472"",""NO"",""NO"",""available"",""BER002"",""1.0"",""0"",""YES"",""650.0"","""","""","""","""","""","""","""","""""
"cebolla-morada,""Cebolla Morada"","""",""Cebolla Morada"","""",""0.0"",""0.0"",""0.0"",""1 Kg. (aprox. 4 unid.)"","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/5049829/cebolla-morada.jpg?1588343465"",""NO"",""NO"",""available"",""CEB002"",""1.0"",""0"",""YES"",""1600.0"","""","""","""","""","""","""","""","""""
"ciboulette,""Ciboulette"","""",""Ciboulette"","""",""0.0"",""0.0"",""0.0"",""30 grs."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/5049832/Ciboulette.jpg?1588343459"",""NO"",""NO"",""available"",""CIB001"",""0.03"",""0"",""YES"",""1200.0"","""","""","""","""","""","""","""","""""
